gene_id	chr_id	transcript_length	gene_group
Ec-02_002510	chr_02	823	
Ec-02_002520	chr_02	3415	
Ec-02_002530	chr_02	2056	
Ec-02_002540	chr_02	159	
Ec-02_002550	chr_02	162	
Ec-02_002560	chr_02	3702	
Ec-02_002570	chr_02	2493	
Ec-02_002580	chr_02	1948	
Ec-02_002590	chr_02	907	
Ec-02_002600	chr_02	2266	GBG-gametophyte
Ec-02_002610	chr_02	1852	
Ec-02_002620	chr_02	822	
Ec-02_002630	chr_02	1305	
Ec-02_002640	chr_02	3881	GBG-gametophyte
Ec-02_002650	chr_02	3818	GBG-sporophyte
Ec-02_002660	chr_02	2097	GBG-sporophyte
Ec-02_002670	chr_02	4286	
Ec-02_002680	chr_02	666	
Ec-02_002690	chr_02	243	
Ec-02_002700	chr_02	5203	
Ec-02_002710	chr_02	2292	GBG-gametophyte
Ec-02_002720	chr_02	1479	
Ec-02_002730	chr_02	6068	
Ec-02_002740	chr_02	2338	
Ec-02_002750	chr_02	6961	
Ec-02_002760	chr_02	729	
Ec-02_002770	chr_02	3386	GBG-gametophyte
Ec-02_002780	chr_02	2195	
Ec-02_002790	chr_02	5207	
Ec-02_002800	chr_02	643	GBG-sporophyte
Ec-02_002810	chr_02	698	GBG-sporophyte
Ec-02_002820	chr_02	1834	
Ec-02_002830	chr_02	611	
Ec-02_002840	chr_02	1211	
Ec-02_002850	chr_02	2676	
Ec-02_002860	chr_02	1528	
Ec-02_002870	chr_02	2336	
Ec-02_002880	chr_02	2139	
Ec-02_002900	chr_02	2349	GBG-gametophyte
Ec-02_002910	chr_02	789	
Ec-02_002920	chr_02	900	GBG-gametophyte
Ec-02_002930	chr_02	555	
Ec-02_002940	chr_02	4453	
Ec-02_002950	chr_02	506	
Ec-02_002960	chr_02	2882	GBG-gametophyte
Ec-02_002970	chr_02	2985	SBG-female
Ec-02_002970	chr_02	2985	GBG-gametophyte
Ec-02_002980	chr_02	5316	SBG-male
Ec-02_003000	chr_02	2589	GBG-gametophyte
Ec-02_003010	chr_02	392	
Ec-02_003020	chr_02	387	
Ec-02_003030	chr_02	567	
Ec-02_003040	chr_02	3469	
Ec-02_003050	chr_02	1895	
Ec-02_003060	chr_02	2750	
Ec-02_003070	chr_02	390	
Ec-02_003080	chr_02	2480	
Ec-02_003090	chr_02	6987	
Ec-02_003100	chr_02	3512	
Ec-02_003110	chr_02	3060	
Ec-02_003120	chr_02	2513	
Ec-02_003130	chr_02	1874	GBG-sporophyte
Ec-02_003140	chr_02	6251	
Ec-02_003150	chr_02	2472	
Ec-02_003160	chr_02	2997	
Ec-02_003170	chr_02	5895	
Ec-02_003180	chr_02	1421	
Ec-02_003190	chr_02	1799	
Ec-02_003200	chr_02	2184	
Ec-02_003210	chr_02	4082	
Ec-02_003270	chr_02	4365	GBG-gametophyte
Ec-02_003280	chr_02	4555	
Ec-02_003290	chr_02	539	
Ec-02_003300	chr_02	1443	
Ec-02_003310	chr_02	1663	
Ec-02_003320	chr_02	2251	
Ec-02_003330	chr_02	1368	
Ec-02_003340	chr_02	1048	
Ec-02_003350	chr_02	3789	
Ec-02_003360	chr_02	2963	
Ec-02_003370	chr_02	2677	
Ec-02_003380	chr_02	1987	
Ec-02_003390	chr_02	2727	
Ec-02_003400	chr_02	2189	
Ec-02_003410	chr_02	3053	
Ec-02_003420	chr_02	5996	
Ec-02_003430	chr_02	318	
Ec-02_003440	chr_02	1509	
Ec-02_003450	chr_02	2735	
Ec-02_003460	chr_02	8189	
Ec-02_003470	chr_02	2785	
Ec-02_003480	chr_02	881	GBG-gametophyte
Ec-02_003490	chr_02	4411	
Ec-02_003500	chr_02	381	
Ec-02_003510	chr_02	2574	
Ec-02_003520	chr_02	1478	
Ec-02_003530	chr_02	4684	GBG-gametophyte
Ec-02_003540	chr_02	571	
Ec-02_003550	chr_02	1887	
Ec-02_003560	chr_02	3177	
Ec-02_003570	chr_02	1532	
Ec-02_003580	chr_02	2872	SBG-male
Ec-02_003580	chr_02	2872	GBG-sporophyte
Ec-02_003590	chr_02	2440	SBG-male
Ec-02_003600	chr_02	2878	
Ec-02_003610	chr_02	2577	
Ec-02_003620	chr_02	2781	
Ec-02_003630	chr_02	4388	
Ec-02_003640	chr_02	2958	
Ec-02_003650	chr_02	1560	
Ec-02_003660	chr_02	4895	
Ec-02_003670	chr_02	4300	
Ec-02_003680	chr_02	5698	
Ec-02_003690	chr_02	3225	
Ec-02_003700	chr_02	462	
Ec-02_003710	chr_02	2079	
Ec-02_003720	chr_02	966	
Ec-02_003730	chr_02	2778	
Ec-02_003740	chr_02	1746	
Ec-02_003750	chr_02	3810	
Ec-02_003760	chr_02	837	
Ec-02_003770	chr_02	3284	
Ec-02_003780	chr_02	1084	
Ec-02_003790	chr_02	1224	
Ec-02_003800	chr_02	4812	
Ec-02_003810	chr_02	981	
Ec-02_003830	chr_02	351	
Ec-02_003840	chr_02	2075	
Ec-02_003850	chr_02	3729	
Ec-02_003860	chr_02	1740	GBG-gametophyte
Ec-02_003870	chr_02	3559	
Ec-02_003880	chr_02	4066	
Ec-02_003890	chr_02	1020	
Ec-02_003900	chr_02	2094	
Ec-02_003910	chr_02	1768	
Ec-02_003920	chr_02	943	
Ec-02_003930	chr_02	4211	
Ec-02_003940	chr_02	5090	SBG-male
Ec-02_003940	chr_02	5090	GBG-sporophyte
Ec-02_003950	chr_02	10096	
Ec-02_003960	chr_02	1311	
Ec-02_003970	chr_02	287	
Ec-02_003980	chr_02	4030	
Ec-02_003990	chr_02	1479	
Ec-02_004000	chr_02	665	
Ec-02_004010	chr_02	3388	
Ec-02_004030	chr_02	2724	
Ec-02_004040	chr_02	637	GBG-sporophyte
Ec-02_004050	chr_02	2249	
Ec-02_004060	chr_02	4201	
Ec-02_004070	chr_02	1671	
Ec-02_004080	chr_02	3726	
Ec-02_004090	chr_02	2564	
Ec-02_004100	chr_02	1625	
Ec-02_004110	chr_02	4389	
Ec-02_004120	chr_02	3078	
Ec-02_004130	chr_02	3144	
Ec-02_004140	chr_02	1065	
Ec-02_004150	chr_02	2920	
Ec-02_004160	chr_02	1953	
Ec-02_004170	chr_02	2169	
Ec-02_004180	chr_02	2295	GBG-sporophyte
Ec-02_004190	chr_02	963	
Ec-02_004200	chr_02	1780	
Ec-02_004210	chr_02	2047	
Ec-02_004220	chr_02	762	
Ec-02_004230	chr_02	1438	
Ec-02_004240	chr_02	1053	
Ec-02_004250	chr_02	2630	
Ec-02_004260	chr_02	2649	
Ec-02_004270	chr_02	780	
Ec-02_004280	chr_02	1738	
Ec-02_004290	chr_02	3380	
Ec-02_004300	chr_02	2925	
Ec-02_004310	chr_02	323	
Ec-02_004320	chr_02	1329	
Ec-02_004330	chr_02	2173	
Ec-02_004340	chr_02	1380	
Ec-02_004350	chr_02	980	
Ec-02_004360	chr_02	5046	
Ec-02_004370	chr_02	2583	
Ec-02_004380	chr_02	393	
Ec-02_004390	chr_02	4587	
Ec-02_004400	chr_02	606	
Ec-02_004410	chr_02	1260	
Ec-02_004420	chr_02	6000	
Ec-02_004430	chr_02	804	
Ec-02_004440	chr_02	5736	
Ec-02_004450	chr_02	1406	
Ec-02_004460	chr_02	126	
Ec-02_004470	chr_02	534	GBG-gametophyte
Ec-02_004480	chr_02	1887	GBG-gametophyte
Ec-02_004490	chr_02	399	
Ec-02_004500	chr_02	921	
Ec-02_004510	chr_02	426	
Ec-02_004520	chr_02	1541	
Ec-02_004530	chr_02	250	
Ec-02_004540	chr_02	255	
Ec-02_004550	chr_02	1914	
Ec-02_004560	chr_02	5770	
Ec-02_004570	chr_02	3791	
Ec-02_004580	chr_02	2917	
Ec-02_004590	chr_02	2217	GBG-sporophyte
Ec-02_004600	chr_02	774	
Ec-02_004610	chr_02	954	
Ec-02_004620	chr_02	2106	
Ec-02_004630	chr_02	1142	
Ec-02_004640	chr_02	3246	
Ec-02_004650	chr_02	1326	
Ec-02_004660	chr_02	3516	
Ec-02_004670	chr_02	1002	
Ec-02_004680	chr_02	1840	
Ec-02_004690	chr_02	3900	GBG-gametophyte
Ec-02_004700	chr_02	1834	
Ec-02_004720	chr_02	837	
Ec-02_004730	chr_02	2812	
Ec-02_004740	chr_02	3240	
Ec-02_004750	chr_02	3247	
Ec-02_004760	chr_02	3399	
Ec-02_004770	chr_02	1934	
Ec-02_004780	chr_02	2241	
Ec-02_004790	chr_02	6820	
Ec-02_004800	chr_02	1688	
Ec-02_004810	chr_02	4076	
Ec-02_004820	chr_02	3880	SBG-male
Ec-02_004830	chr_02	1982	
Ec-02_004840	chr_02	1452	
Ec-02_004850	chr_02	1566	
Ec-02_004860	chr_02	885	
Ec-02_004870	chr_02	1841	
Ec-02_004880	chr_02	2401	
Ec-02_004890	chr_02	1593	
Ec-02_004900	chr_02	4683	
Ec-02_004910	chr_02	5016	GBG-gametophyte
Ec-02_004920	chr_02	3436	
Ec-02_004930	chr_02	4338	
Ec-02_004940	chr_02	1867	
Ec-02_004950	chr_02	3551	
Ec-02_004960	chr_02	1873	
Ec-02_004970	chr_02	2269	
Ec-02_004980	chr_02	3050	
Ec-02_004990	chr_02	3237	
Ec-02_005010	chr_02	1467	
Ec-02_005020	chr_02	799	
Ec-02_005030	chr_02	603	
Ec-02_005040	chr_02	1279	
Ec-02_005050	chr_02	183	
Ec-02_005060	chr_02	1014	
Ec-02_005070	chr_02	1344	
Ec-02_005080	chr_02	4564	GBG-gametophyte
Ec-02_005090	chr_02	1944	
Ec-02_005100	chr_02	7909	SBG-male
Ec-02_005110	chr_02	2055	
Ec-02_005120	chr_02	1772	
Ec-02_005130	chr_02	234	
Ec-02_005140	chr_02	2809	
Ec-02_005150	chr_02	3725	
Ec-02_005160	chr_02	1619	
Ec-02_005170	chr_02	5621	
Ec-02_005180	chr_02	1193	
Ec-02_005190	chr_02	2926	
Ec-02_005200	chr_02	3502	
Ec-02_005210	chr_02	1022	GBG-sporophyte
Ec-02_005220	chr_02	2450	
Ec-02_005230	chr_02	2903	
Ec-02_005240	chr_02	1748	GBG-gametophyte
Ec-02_005250	chr_02	5847	
Ec-02_005260	chr_02	588	SBG-female
Ec-02_005270	chr_02	2408	
Ec-02_005280	chr_02	2855	
Ec-02_005290	chr_02	1365	SBG-female
Ec-02_005300	chr_02	1024	
Ec-02_005310	chr_02	2497	
Ec-02_005320	chr_02	4075	
Ec-02_005330	chr_02	2440	
Ec-02_005340	chr_02	4265	
Ec-02_005350	chr_02	4566	
Ec-02_005360	chr_02	2844	
Ec-02_005380	chr_02	1953	
Ec-02_005390	chr_02	1193	
Ec-02_005400	chr_02	903	
Ec-02_005410	chr_02	2656	
Ec-02_005420	chr_02	2060	
Ec-02_005430	chr_02	3378	
Ec-02_005440	chr_02	1050	
Ec-02_005450	chr_02	4946	
Ec-02_005460	chr_02	2397	SBG-male
Ec-02_005470	chr_02	3041	
Ec-02_005480	chr_02	1816	
Ec-02_005490	chr_02	2802	
Ec-02_005500	chr_02	1333	
Ec-02_005510	chr_02	2966	
Ec-02_005520	chr_02	1204	
Ec-02_005530	chr_02	1000	
Ec-02_005540	chr_02	1199	
Ec-02_005560	chr_02	2446	
Ec-02_005570	chr_02	5056	
Ec-02_005580	chr_02	1440	
Ec-02_005590	chr_02	2019	
Ec-02_005600	chr_02	1297	
Ec-02_005610	chr_02	2899	
Ec-02_005620	chr_02	1220	
Ec-02_005630	chr_02	1735	
Ec-02_005640	chr_02	2590	
Ec-02_005650	chr_02	1690	
Ec-02_005660	chr_02	2020	
Ec-02_005670	chr_02	3199	
Ec-02_005680	chr_02	1507	
Ec-02_005690	chr_02	1032	
Ec-02_005700	chr_02	1807	
Ec-02_005710	chr_02	1459	
Ec-02_005720	chr_02	2089	
Ec-02_005730	chr_02	4332	
Ec-02_005740	chr_02	5327	
Ec-02_005750	chr_02	2517	
Ec-02_005760	chr_02	1682	
Ec-02_005770	chr_02	6267	
Ec-02_005780	chr_02	5752	
Ec-02_005790	chr_02	3625	
Ec-02_005800	chr_02	2155	
Ec-02_005810	chr_02	2311	
Ec-02_005820	chr_02	1270	
Ec-02_005830	chr_02	5432	
Ec-02_005840	chr_02	3493	
Ec-02_005850	chr_02	4476	
Ec-02_005860	chr_02	903	
Ec-02_005870	chr_02	3772	
Ec-02_005880	chr_02	1961	
Ec-02_005890	chr_02	3123	
Ec-02_005900	chr_02	3381	
Ec-02_005910	chr_02	3272	
Ec-02_005920	chr_02	2319	
Ec-02_005930	chr_02	3380	
Ec-02_005950	chr_02	9474	
Ec-02_005960	chr_02	1645	
Ec-02_005970	chr_02	2924	
Ec-02_005980	chr_02	6206	GBG-gametophyte
Ec-02_005990	chr_02	1259	
Ec-02_006000	chr_02	4895	
Ec-02_006010	chr_02	2142	
Ec-02_006020	chr_02	1603	
Ec-02_006030	chr_02	895	
Ec-02_006040	chr_02	174	
Ec-02_006060	chr_02	1851	
Ec-02_006070	chr_02	1924	
Ec-02_006080	chr_02	1657	
Ec-02_006090	chr_02	2252	
Ec-02_006100	chr_02	5376	
Ec-02_006110	chr_02	1537	
Ec-02_006120	chr_02	948	
Ec-02_006130	chr_02	7637	
Ec-02_006140	chr_02	3667	
Ec-02_006150	chr_02	2362	
Ec-02_006160	chr_02	951	
Ec-02_006170	chr_02	3021	
Ec-02_006180	chr_02	1601	
Ec-02_006190	chr_02	3700	
Ec-02_006210	chr_02	3783	
Ec-02_006230	chr_02	2646	
Ec-02_006240	chr_02	222	
Ec-02_006250	chr_02	449	
Ec-02_006260	chr_02	2421	
Ec-02_006280	chr_02	2851	
Ec-02_006290	chr_02	1630	
Ec-02_006300	chr_02	1585	
Ec-02_006310	chr_02	2051	
Ec-02_006320	chr_02	1585	
Ec-02_006330	chr_02	2276	
Ec-02_006340	chr_02	4057	
Ec-02_006350	chr_02	936	
Ec-02_006360	chr_02	852	
Ec-02_006370	chr_02	1877	
Ec-02_006380	chr_02	2082	
Ec-02_006390	chr_02	1487	
Ec-02_006400	chr_02	1851	
Ec-02_006410	chr_02	2964	GBG-gametophyte
Ec-02_006420	chr_02	2063	
Ec-02_006430	chr_02	3120	
Ec-02_006440	chr_02	283	
Ec-02_006450	chr_02	1296	
Ec-03_000010	chr_03	4303	SBG-female
Ec-03_000020	chr_03	2654	
Ec-03_000030	chr_03	135	
Ec-03_000040	chr_03	1818	
Ec-03_000050	chr_03	1176	
Ec-03_000060	chr_03	2153	
Ec-03_000070	chr_03	672	
Ec-03_000080	chr_03	1775	
Ec-03_000090	chr_03	3933	
Ec-03_000100	chr_03	1071	
Ec-03_000110	chr_03	4259	
Ec-03_000120	chr_03	996	
Ec-03_000130	chr_03	3171	
Ec-03_000140	chr_03	789	
Ec-03_000150	chr_03	4512	
Ec-03_000160	chr_03	2882	
Ec-03_000180	chr_03	2949	
Ec-03_000190	chr_03	1484	
Ec-03_000200	chr_03	927	
Ec-03_000210	chr_03	6559	SBG-male
Ec-03_000220	chr_03	2980	
Ec-03_000230	chr_03	480	
Ec-03_000240	chr_03	1174	
Ec-03_000250	chr_03	501	
Ec-03_000260	chr_03	468	
Ec-03_000270	chr_03	885	
Ec-03_000280	chr_03	4680	
Ec-03_000290	chr_03	927	
Ec-03_000300	chr_03	6624	
Ec-03_000310	chr_03	3172	
Ec-03_000320	chr_03	3344	
Ec-03_000330	chr_03	3164	
Ec-03_000350	chr_03	186	
Ec-03_000360	chr_03	838	
Ec-03_000370	chr_03	2313	GBG-gametophyte
Ec-03_000380	chr_03	363	
Ec-03_000390	chr_03	1001	
Ec-03_000400	chr_03	3556	
Ec-03_000410	chr_03	1674	
Ec-03_000420	chr_03	3358	
Ec-03_000430	chr_03	627	
Ec-03_000440	chr_03	2072	
Ec-03_000450	chr_03	5316	
Ec-03_000460	chr_03	4296	
Ec-03_000470	chr_03	1258	
Ec-03_000480	chr_03	8955	
Ec-03_000500	chr_03	1007	
Ec-03_000510	chr_03	132	
Ec-03_000520	chr_03	2457	
Ec-03_000530	chr_03	2336	
Ec-03_000540	chr_03	744	
Ec-03_000550	chr_03	3083	
Ec-03_000560	chr_03	4330	
Ec-03_000570	chr_03	1072	
Ec-03_000580	chr_03	3163	
Ec-03_000590	chr_03	1155	
Ec-03_000600	chr_03	14102	
Ec-03_000610	chr_03	159	
Ec-03_000620	chr_03	5093	
Ec-03_000630	chr_03	4443	
Ec-03_000640	chr_03	105	
Ec-03_000650	chr_03	3540	
Ec-03_000660	chr_03	3312	
Ec-03_000670	chr_03	3448	
Ec-03_000680	chr_03	4906	
Ec-03_000690	chr_03	4048	
Ec-03_000700	chr_03	4373	
Ec-03_000710	chr_03	4328	
Ec-03_000720	chr_03	4613	
Ec-03_000730	chr_03	948	
Ec-03_000740	chr_03	646	GBG-sporophyte
Ec-03_000750	chr_03	1656	
Ec-03_000760	chr_03	303	
Ec-03_000770	chr_03	3233	
Ec-03_000780	chr_03	3738	
Ec-03_000790	chr_03	2390	
Ec-03_000800	chr_03	807	
Ec-03_000810	chr_03	5719	
Ec-03_000820	chr_03	2581	
Ec-03_000840	chr_03	2836	
Ec-03_000850	chr_03	1437	
Ec-03_000860	chr_03	1721	
Ec-03_000870	chr_03	114	
Ec-03_000880	chr_03	1595	
Ec-03_000890	chr_03	230	
Ec-03_000900	chr_03	1191	
Ec-03_000910	chr_03	1322	
Ec-03_000920	chr_03	3302	
Ec-03_000930	chr_03	7024	
Ec-03_000940	chr_03	4659	GBG-sporophyte
Ec-03_000950	chr_03	1121	
Ec-03_000960	chr_03	6465	
Ec-03_000970	chr_03	891	
Ec-03_000980	chr_03	450	
Ec-03_000990	chr_03	2100	
Ec-03_001000	chr_03	5214	
Ec-03_001010	chr_03	2855	
Ec-03_001020	chr_03	2404	
Ec-03_001030	chr_03	2404	
Ec-03_001040	chr_03	1698	
Ec-03_001050	chr_03	3297	
Ec-03_001070	chr_03	2716	
Ec-03_001080	chr_03	2243	
Ec-03_001090	chr_03	5421	
Ec-03_001100	chr_03	10785	
Ec-03_001110	chr_03	7872	SBG-male
Ec-03_001110	chr_03	7872	GBG-gametophyte
Ec-03_001120	chr_03	1073	
Ec-03_001130	chr_03	228	
Ec-03_001140	chr_03	2479	
Ec-03_001150	chr_03	1806	
Ec-03_001160	chr_03	398	
Ec-03_001170	chr_03	2050	
Ec-03_001180	chr_03	2587	
Ec-03_001190	chr_03	624	
Ec-03_001200	chr_03	695	
Ec-03_001210	chr_03	435	
Ec-03_001220	chr_03	2568	
Ec-03_001230	chr_03	939	
Ec-03_001240	chr_03	1080	
Ec-03_001250	chr_03	372	
Ec-03_001260	chr_03	2414	GBG-gametophyte
Ec-03_001270	chr_03	2921	
Ec-03_001280	chr_03	3292	
Ec-03_001300	chr_03	584	
Ec-03_001310	chr_03	3201	
Ec-03_001320	chr_03	6815	
Ec-03_001330	chr_03	3897	
Ec-03_001340	chr_03	1404	
Ec-03_001350	chr_03	2140	
Ec-03_001360	chr_03	3003	
Ec-03_001370	chr_03	1580	
Ec-03_001380	chr_03	1128	
Ec-03_001390	chr_03	1806	
Ec-03_001400	chr_03	2619	
Ec-03_001410	chr_03	3407	
Ec-03_001420	chr_03	2308	
Ec-03_001430	chr_03	1174	GBG-gametophyte
Ec-03_001440	chr_03	868	GBG-gametophyte
Ec-03_001450	chr_03	507	
Ec-03_001460	chr_03	2701	
Ec-03_001470	chr_03	1733	
Ec-03_001480	chr_03	592	
Ec-03_001490	chr_03	954	
Ec-03_001500	chr_03	6498	GBG-gametophyte
Ec-03_001510	chr_03	1224	
Ec-03_001520	chr_03	9489	
Ec-03_001530	chr_03	2725	
Ec-03_001540	chr_03	1967	
Ec-03_001560	chr_03	3324	
Ec-03_001570	chr_03	4379	
Ec-03_001590	chr_03	723	
Ec-03_001600	chr_03	1105	
Ec-03_001610	chr_03	3348	
Ec-03_001620	chr_03	1713	
Ec-03_001630	chr_03	6501	SBG-male
Ec-03_001630	chr_03	6501	GBG-gametophyte
Ec-03_001640	chr_03	1515	
Ec-03_001650	chr_03	2882	
Ec-03_001670	chr_03	4053	
Ec-03_001680	chr_03	1585	
Ec-03_001690	chr_03	2103	
Ec-03_001700	chr_03	821	
Ec-03_001710	chr_03	5137	
Ec-03_001720	chr_03	908	
Ec-03_001730	chr_03	637	
Ec-03_001740	chr_03	1589	
Ec-03_001750	chr_03	3291	
Ec-03_001760	chr_03	756	
Ec-03_001770	chr_03	218	
Ec-03_001780	chr_03	1180	
Ec-03_001790	chr_03	5018	
Ec-03_001800	chr_03	810	
Ec-03_001810	chr_03	1436	
Ec-03_001820	chr_03	2328	
Ec-03_001830	chr_03	1208	
Ec-03_001840	chr_03	732	
Ec-03_001850	chr_03	5599	
Ec-03_001860	chr_03	1532	
Ec-03_001870	chr_03	804	
Ec-03_001880	chr_03	6150	
Ec-03_001890	chr_03	4534	
Ec-03_001900	chr_03	2440	
Ec-03_001910	chr_03	5573	
Ec-03_001920	chr_03	3919	
Ec-03_001930	chr_03	4872	
Ec-03_001940	chr_03	2919	
Ec-03_001950	chr_03	684	
Ec-03_001960	chr_03	2557	
Ec-03_001970	chr_03	3012	
Ec-03_001980	chr_03	357	
Ec-03_001990	chr_03	252	
Ec-03_002000	chr_03	741	
Ec-03_002010	chr_03	4688	
Ec-03_002020	chr_03	2929	GBG-sporophyte
Ec-03_002030	chr_03	2418	
Ec-03_002040	chr_03	1280	
Ec-03_002050	chr_03	2877	
Ec-03_002060	chr_03	8691	
Ec-03_002070	chr_03	1884	
Ec-03_002080	chr_03	2393	
Ec-03_002090	chr_03	2928	
Ec-03_002100	chr_03	5310	
Ec-03_002110	chr_03	2042	
Ec-03_002120	chr_03	1869	
Ec-03_002130	chr_03	2205	
Ec-03_002140	chr_03	552	
Ec-03_002150	chr_03	1875	
Ec-03_002160	chr_03	801	
Ec-03_002170	chr_03	3186	
Ec-03_002180	chr_03	3571	
Ec-03_002190	chr_03	2879	
Ec-03_002200	chr_03	970	GBG-sporophyte
Ec-03_002210	chr_03	1829	
Ec-03_002220	chr_03	3201	
Ec-03_002230	chr_03	2275	GBG-gametophyte
Ec-03_002240	chr_03	1227	
Ec-03_002250	chr_03	2448	
Ec-03_002260	chr_03	12852	
Ec-03_002270	chr_03	3722	
Ec-03_002280	chr_03	3301	
Ec-03_002290	chr_03	222	
Ec-03_002300	chr_03	627	
Ec-03_002310	chr_03	718	
Ec-03_002320	chr_03	2101	
Ec-03_002330	chr_03	2292	
Ec-03_002340	chr_03	4280	
Ec-03_002350	chr_03	3933	
Ec-03_002360	chr_03	1602	
Ec-03_002370	chr_03	447	
Ec-03_002380	chr_03	2676	
Ec-03_002390	chr_03	3152	
Ec-03_002400	chr_03	3595	
Ec-03_002410	chr_03	2979	
Ec-03_002420	chr_03	2618	
Ec-03_002430	chr_03	1750	
Ec-03_002440	chr_03	5488	
Ec-03_002450	chr_03	1813	
Ec-03_002460	chr_03	2581	
Ec-03_002470	chr_03	3692	GBG-gametophyte
Ec-03_002480	chr_03	2190	
Ec-03_002500	chr_03	2887	GBG-gametophyte
Ec-03_002510	chr_03	2907	SBG-male
Ec-03_002510	chr_03	2907	GBG-gametophyte
Ec-03_002520	chr_03	2643	
Ec-03_002530	chr_03	2460	
Ec-03_002540	chr_03	3438	
Ec-03_002550	chr_03	1121	
Ec-03_002560	chr_03	4212	
Ec-03_002570	chr_03	1389	
Ec-03_002580	chr_03	3194	
Ec-03_002590	chr_03	688	
Ec-03_002600	chr_03	3336	
Ec-03_002610	chr_03	2188	
Ec-03_002620	chr_03	435	
Ec-03_002630	chr_03	3119	
Ec-03_002640	chr_03	2488	
Ec-03_002650	chr_03	3340	
Ec-03_002660	chr_03	2350	
Ec-03_002670	chr_03	2534	SBG-male
Ec-03_002670	chr_03	2534	GBG-gametophyte
Ec-03_002680	chr_03	4001	
Ec-03_002690	chr_03	1621	
Ec-03_002700	chr_03	1991	
Ec-03_002710	chr_03	443	
Ec-03_002720	chr_03	2625	
Ec-03_002730	chr_03	6779	
Ec-03_002740	chr_03	2411	
Ec-03_002750	chr_03	1807	
Ec-03_002760	chr_03	757	
Ec-03_002770	chr_03	453	
Ec-03_002780	chr_03	1882	
Ec-03_002790	chr_03	2026	
Ec-03_002800	chr_03	1397	
Ec-03_002810	chr_03	1470	
Ec-03_002820	chr_03	843	
Ec-03_002840	chr_03	4829	
Ec-03_002850	chr_03	2075	
Ec-03_002860	chr_03	1728	
Ec-03_002870	chr_03	4251	
Ec-03_002880	chr_03	1300	
Ec-03_002890	chr_03	1232	
Ec-03_002900	chr_03	1042	
Ec-03_002910	chr_03	3552	GBG-gametophyte
Ec-03_002920	chr_03	1806	
Ec-03_002930	chr_03	1664	
Ec-03_002940	chr_03	1066	
Ec-03_002950	chr_03	2667	
Ec-03_002960	chr_03	816	
Ec-03_002970	chr_03	1856	
Ec-03_002980	chr_03	2084	
Ec-03_002990	chr_03	3932	
Ec-03_003000	chr_03	678	
Ec-03_003010	chr_03	3789	
Ec-03_003020	chr_03	1154	
Ec-03_003030	chr_03	3496	
Ec-03_003040	chr_03	4541	GBG-gametophyte
Ec-03_003050	chr_03	3819	
Ec-03_003060	chr_03	3741	
Ec-03_003070	chr_03	2412	GBG-gametophyte
Ec-03_003080	chr_03	270	
Ec-03_003090	chr_03	1184	
Ec-03_003100	chr_03	934	
Ec-03_003110	chr_03	552	
Ec-03_003120	chr_03	4365	
Ec-03_003130	chr_03	3566	GBG-gametophyte
Ec-03_003140	chr_03	5006	
Ec-03_003150	chr_03	3416	
Ec-03_003160	chr_03	1031	
Ec-03_003170	chr_03	1791	
Ec-03_003180	chr_03	3616	
Ec-03_003190	chr_03	1025	
Ec-03_003200	chr_03	387	
Ec-03_003210	chr_03	1638	
Ec-03_003220	chr_03	4602	
Ec-03_003230	chr_03	261	
Ec-03_003240	chr_03	3693	
Ec-03_003250	chr_03	3541	
Ec-03_003260	chr_03	2472	
Ec-03_003270	chr_03	2145	
Ec-03_003280	chr_03	1509	
Ec-03_003290	chr_03	1830	
Ec-03_003300	chr_03	1668	
Ec-03_003310	chr_03	679	
Ec-03_003320	chr_03	4129	
Ec-03_003330	chr_03	558	
Ec-03_003340	chr_03	2728	
Ec-03_003350	chr_03	405	
Ec-03_003360	chr_03	1332	
Ec-03_003370	chr_03	857	
Ec-03_003380	chr_03	2625	
Ec-03_003390	chr_03	150	
Ec-03_003400	chr_03	891	
Ec-03_003410	chr_03	3179	
Ec-03_003420	chr_03	2029	
Ec-03_003430	chr_03	4767	
Ec-03_003440	chr_03	13149	GBG-gametophyte
Ec-03_003460	chr_03	3012	
Ec-03_003470	chr_03	1236	
Ec-03_003480	chr_03	1908	
Ec-03_003490	chr_03	1831	
Ec-03_003510	chr_03	4583	
Ec-03_003520	chr_03	2161	
Ec-03_003530	chr_03	2089	
Ec-03_003540	chr_03	2668	GBG-gametophyte
Ec-03_003550	chr_03	1353	
Ec-03_003560	chr_03	2971	
Ec-03_003570	chr_03	1025	
Ec-03_003580	chr_03	1233	
Ec-03_003590	chr_03	1352	
Ec-03_003600	chr_03	2722	
Ec-03_003610	chr_03	2492	
Ec-03_003630	chr_03	1136	
Ec-03_003640	chr_03	1656	
Ec-03_003650	chr_03	279	
Ec-03_003660	chr_03	3460	
Ec-03_003670	chr_03	1742	
Ec-03_003680	chr_03	893	
Ec-03_003690	chr_03	1115	
Ec-03_003700	chr_03	781	
Ec-03_003710	chr_03	1866	
Ec-03_003720	chr_03	1638	GBG-gametophyte
Ec-03_003730	chr_03	3149	
Ec-03_003740	chr_03	3625	
Ec-03_003750	chr_03	819	
Ec-03_003760	chr_03	1803	
Ec-03_003770	chr_03	522	
Ec-03_003780	chr_03	429	
Ec-03_003790	chr_03	618	
Ec-03_003800	chr_03	4636	
Ec-03_003810	chr_03	2636	
Ec-03_003820	chr_03	2595	
Ec-03_003830	chr_03	3120	
